KD_TOKO|ACTIVE_DATE|END_DATE|TIPE_SHIFT|JML_SHIFT|METODE_SETOR
T3OJ|2022-09-15||SALES_SHIFT|2|KODEL
TE5G|2022-09-15||SALES_SHIFT|2|KODEL
TIVF|2022-09-15||SALES_SHIFT|2|KODEL
TM7C|2022-09-15||SALES_SHIFT|2|KODEL
TQPL|2022-09-15||SALES_SHIFT|2|KODEL
TWKQ|2022-09-15||SALES_SHIFT|2|KODEL
T1OL|2022-09-15||SALES_SHIFT|2|KODEL
T4CP|2022-09-15||SALES_SHIFT|2|KODEL
T9NL|2022-09-15||SALES_SHIFT|2|KODEL
TOKW|2022-09-15||SALES_SHIFT|2|KODEL
