KD_TOKO|ACTIVE_DATE|END_DATE|TIPE_SHIFT|JML_SHIFT|METODE_SETOR
T0YS|9/15/2022||SALES_SHIFT|2|KODEL
TW3M|9/15/2022||SALES_SHIFT|2|KODEL
TJ3C|9/15/2022||SALES_SHIFT|3|KODEL
T6C8|9/15/2022||SALES_SHIFT|2|KODEL
F2S9|9/15/2022||SALES_SHIFT|2|KODEL
F2C8|9/15/2022||SALES_SHIFT|2|KODEL
TVNA|9/15/2022||SALES_SHIFT|2|KODEL
TPZU|9/15/2022||SALES_SHIFT|2|KODEL
T7C7|9/15/2022||SALES_SHIFT|2|KODEL
F3OY|9/15/2022||SALES_SHIFT|2|KODEL
