KD_TOKO|ACTIVE_DATE|END_DATE|TIPE_SHIFT|JML_SHIFT|METODE_SETOR
T0YS|2022-09-15||SALES_SHIFT|2|KODEL
TW3M|2022-09-15||SALES_SHIFT|2|KODEL
TJ3C|2022-09-15||SALES_SHIFT|3|KODEL
T6C8|2022-09-15||SALES_SHIFT|2|KODEL
F2S9|2022-09-15||SALES_SHIFT|2|KODEL
F2C8|2022-09-15||SALES_SHIFT|2|KODEL
TVNA|2022-09-15||SALES_SHIFT|2|KODEL
TPZU|2022-09-15||SALES_SHIFT|2|KODEL
T7C7|2022-09-15||SALES_SHIFT|2|KODEL
F3OY|2022-09-15||SALES_SHIFT|2|KODEL
